Week,StartBlock,ELOQ/Block,Weekly Total
1,10000000,1.92,85708.8
2,10044640,1.909903,85258.07
3,10089280,1.899806,84807.34
4,10133920,1.889709,84356.61
5,10178560,1.879612,83905.88
6,10223200,1.869515,83455.15
7,10267840,1.859417,83004.37
8,10312480,1.84932,82553.64
9,10357120,1.839223,82102.91
10,10401760,1.829126,81652.18
11,10446400,1.819029,81201.45
12,10491040,1.808932,80750.72
13,10535680,1.798835,80299.99
14,10580320,1.788738,79849.26
15,10624960,1.778641,79398.53
16,10669600,1.768544,78947.8
17,10714240,1.758447,78497.07
18,10758880,1.74835,78046.34
19,10803520,1.738252,77595.57
20,10848160,1.728155,77144.84
21,10892800,1.718058,76694.11
22,10937440,1.707961,76243.38
23,10982080,1.697864,75792.65
24,11026720,1.687767,75341.92
25,11071360,1.67767,74891.19
26,11116000,1.667573,74440.46
27,11160640,1.657476,73989.73
28,11205280,1.647379,73539.0
29,11249920,1.637282,73088.27
30,11294560,1.627184,72637.49
31,11339200,1.617087,72186.76
32,11383840,1.60699,71736.03
33,11428480,1.596893,71285.3
34,11473120,1.586796,70834.57
35,11517760,1.576699,70383.84
36,11562400,1.566602,69933.11
37,11607040,1.556505,69482.38
38,11651680,1.546408,69031.65
39,11696320,1.536311,68580.92
40,11740960,1.526214,68130.19
41,11785600,1.516117,67679.46
42,11830240,1.506019,67228.69
43,11874880,1.495922,66777.96
44,11919520,1.485825,66327.23
45,11964160,1.475728,65876.5
46,12008800,1.465631,65425.77
47,12053440,1.455534,64975.04
48,12098080,1.445437,64524.31
49,12142720,1.43534,64073.58
50,12187360,1.425243,63622.85
51,12232000,1.415146,63172.12
52,12276640,1.405049,62721.39
53,12321280,1.394951,62270.61
54,12365920,1.384854,61819.88
55,12410560,1.374757,61369.15
56,12455200,1.36466,60918.42
57,12499840,1.354563,60467.69
58,12544480,1.344466,60016.96
59,12589120,1.334369,59566.23
60,12633760,1.324272,59115.5
61,12678400,1.314175,58664.77
62,12723040,1.304078,58214.04
63,12767680,1.293981,57763.31
64,12812320,1.283883,57312.54
65,12856960,1.273786,56861.81
66,12901600,1.263689,56411.08
67,12946240,1.253592,55960.35
68,12990880,1.243495,55509.62
69,13035520,1.233398,55058.89
70,13080160,1.223301,54608.16
71,13124800,1.213204,54157.43
72,13169440,1.203107,53706.7
73,13214080,1.19301,53255.97
74,13258720,1.182913,52805.24
75,13303360,1.172816,52354.51
76,13348000,1.162718,51903.73
77,13392640,1.152621,51453.0
78,13437280,1.142524,51002.27
79,13481920,1.132427,50551.54
80,13526560,1.12233,50100.81
81,13571200,1.112233,49650.08
82,13615840,1.102136,49199.35
83,13660480,1.092039,48748.62
84,13705120,1.081942,48297.89
85,13749760,1.071845,47847.16
86,13794400,1.061748,47396.43
87,13839040,1.05165,46945.66
88,13883680,1.041553,46494.93
89,13928320,1.031456,46044.2
90,13972960,1.021359,45593.47
91,14017600,1.011262,45142.74
92,14062240,1.001165,44692.01
93,14106880,0.991068,44241.28
94,14151520,0.980971,43790.55
95,14196160,0.970874,43339.82
96,14240800,0.960777,42889.09
97,14285440,0.95068,42438.36
98,14330080,0.940583,41987.63
99,14374720,0.930485,41536.85
100,14419360,0.920388,41086.12
101,14464000,0.910291,40635.39
102,14508640,0.900194,40184.66
103,14553280,0.890097,39733.93
104,14597920,0.88,39283.2
